ASV,MannWU_stat,p_value,MSI_pos_mean,MSI_neg_mean
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.40,2112.0,0.7870541598932972,0.0015288215892672581,0.004156918897809208
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214-group_NA.21,2247.0,0.7863842520326696,0.0005343605333003344,0.0007927253379400095
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.43,2120.0,0.7789644615255743,0.00030305390308033926,0.0003921319595097263
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_bromii.1,2261.0,0.7734085306338292,0.0016897626369727266,0.0017871592665245075
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-003_NA.8,2122.0,0.7705848935599977,0.00030829356767987583,0.00031517931225094825
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_putredinis.1,2265.0,0.7693197170528041,0.017123870884170476,0.014246137306399282
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_NA_NA.2,2227.0,0.7680961201216719,9.852228039743849e-05,0.00024504476068227144
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.154,2133.5,0.7665318707490344,0.00017386136187139944,0.00042455092359289855
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.23,2234.0,0.7655419349432281,0.00016738495722206045,0.0005288872897137043
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-NK4A136-group_NA.1,2262.5,0.7597980143024785,0.0007395022478404993,0.0006402087893333027
Bacteria_Firmicutes_Clostridia_Monoglobales_Monoglobaceae_Monoglobus_NA.5,2098.0,0.7554178216876601,0.00250072867801807,0.002935476913684253
Bacteria_Cyanobacteria_Vampirivibrionia_Gastranaerophilales_NA_NA_NA.2,2118.5,0.7528915144138989,0.0009339597361378808,0.0007743630349997513
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214-group_NA.18,2244.0,0.7460128137795754,0.0003448064539570234,0.0006679678963334269
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.2,2275.0,0.7416254409057341,0.012039922862250607,0.012575837163508232
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Coprobacter_NA.10,2256.5,0.7408836719479632,0.0011354131981827292,0.0003642785618633589
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_caccae.1,2090.0,0.7325125112464685,0.002769086933252795,0.002841291475130666
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter_NA.120,2243.0,0.7245146977532615,0.00015734671977336075,0.0003277484506138383
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Incertae-Sedis_NA.23,2282.0,0.7212250089592039,0.0013682019393516595,0.0013004107019533885
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.342,2104.5,0.719871416903892,0.00031301148026708226,0.0006279047481140756
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.88,2089.0,0.7169776441364506,0.0005816977244123738,0.0006952392419302472
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214-group_NA.14,2090.0,0.7168558232571797,0.001022761169737266,0.0009878823273072538
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family-XIII-AD3011-group_NA.13,2108.0,0.7125502340723282,0.0002636663218947103,0.0004974730097608277
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_inulinivorans.1,2286.0,0.7115548187892413,0.005502871400788944,0.006281902507748973
