ASV,MannWU_stat,p_value,Cancer_pos_mean,Cancer_neg_mean,Cancer_pooled_stdev,Cancer_cohens_d
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.96,15791.0,0.0014743248895161122,0.0013185079325635967,0.000598603973758331,0.0022877851619966887,0.3146728857079228
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Colidextribacter_NA.14,14459.0,0.03341685831415443,0.0004894505381559367,0.00016845493561823462,0.0010221015467007282,0.314054512072556
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Eubacterium-siraeum-group_NA.12,16202.0,0.00037958330993464155,0.0014904859135468661,0.0009248567123316479,0.0018084765318325847,0.31276557437106955
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA.28,14707.0,0.0035915907859186513,0.00043008598915552526,8.404626530949154e-05,0.0011192720232312643,0.3091649899789686
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_UCG-010_NA.16,15662.5,0.00017452701643933056,0.0006967750219640605,0.00012575488837755867,0.0018580620018329363,0.3073202794218941
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.1,15425.0,0.00858426117996884,0.019746012170656597,0.014247427033723881,0.018034310658044495,0.3048957756796755
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.286,15858.0,0.0006526773082485267,0.004003654912060542,0.0009667689941629394,0.009985129348544744,0.3041408690754923
Bacteria_Firmicutes_Clostridia_Clostridia-UCG-014_NA_NA_NA.118,14415.0,0.0052546438024519216,0.0003430991177036172,4.307911178717093e-05,0.0009877395300196337,0.30374405073216276
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Subdoligranulum_NA.60,15850.0,0.0019281843425879327,0.011846203466028705,0.008617446294204634,0.01063181419499165,0.30368826172160235
Bacteria_Firmicutes_Clostridia_Clostridia-vadinBB60-group_NA_NA_NA.9,15820.5,4.27254512956576e-06,0.0007954043721498139,2.8919889553438077e-05,0.002527631817676241,0.3032421404241688
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA.40,16511.5,3.4413255625139997e-07,0.0024056967283335394,0.00020748903012651786,0.007259895714222915,0.3027877788795914
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_clarus.1,15153.0,0.0017568878582517051,0.0008618777799007484,0.00017555542054572624,0.002269965434996416,0.30234925553221287
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_NA.34,16007.5,4.741424223357201e-07,0.0010479128428415641,0.0,0.0034860888585407377,0.30059843146976356
