ASV,MannWU_stat,p_value,MSI_pos_mean,MSI_neg_mean
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_putredinis.1,2266.0,0.7665368294148572,0.017147366234887433,0.014271301344102363
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.154,2133.5,0.7665318707490344,0.00017389937196163262,0.0004248137808448456
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.23,2234.0,0.7655419349432281,0.00016738495722206045,0.0005289064069651785
Bacteria_Firmicutes_Clostridia_Monoglobales_Monoglobaceae_Monoglobus_NA.5,2101.0,0.7637396423950005,0.0025043172959444563,0.00293817438191727
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_NK4A136_group_NA.1,2262.5,0.7597980143024785,0.0007404770811572345,0.0006404010578386167
Bacteria_Cyanobacteria_Vampirivibrionia_Gastranaerophilales_NA_NA_NA.2,2118.5,0.7528915144138989,0.0009371310801314187,0.0007749103807843618
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.2,2273.0,0.7471380330042229,0.012069675245760065,0.01259442814236493
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214_group_NA.18,2244.0,0.7460128137795754,0.000345723344564356,0.0006688107611295061
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Coprobacter_NA.10,2256.5,0.7408836719479632,0.0011365551911111254,0.00036443649835507925
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Incertae_Sedis_NA.23,2277.0,0.7349687153317661,0.0013706278395247652,0.001307799934204085
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter_NA.120,2243.0,0.7245146977532615,0.00015734671977336075,0.0003277909585968064
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_caccae.1,2086.0,0.7215357294376188,0.0027712754187028464,0.0028508989256375164
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.342,2104.5,0.719871416903892,0.00031353851316468125,0.0006282422718433695
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214_group_NA.14,2091.0,0.7197556835376457,0.001024803011428695,0.0009890830397647557
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.88,2089.0,0.7169776441364506,0.0005824077731730993,0.0006954705127312112
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.96,2087.0,0.7134729620318239,0.0010297154400751476,0.0012436975595440495
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family_XIII_AD3011_group_NA.13,2108.0,0.7125502340723282,0.0002636663218947103,0.0004984442557171298
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_inulinivorans.1,2286.0,0.7115548187892413,0.005519816865598173,0.0062997607262224725
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_inops.1,2092.0,0.7032461640969997,0.0008408185046124204,0.0006702506738446928
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.286,2288.0,0.6821616349529132,0.005391239432938671,0.003997716091648891
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Colidextribacter_NA.17,2279.0,0.6791576330252678,0.00047476956842726277,0.0004631916373611942
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-003_NA.5,2298.0,0.6780511625573468,0.0018551200562292834,0.0016418610406141363
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eisenbergiella_tayi.1,2110.5,0.6731169579336987,0.00015949486286228462,0.0002982660689517611
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Intestinimonas_NA.7,2280.0,0.6713767763936431,0.000612572107098236,0.00048316052916295873
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.54,2235.0,0.6624617730508302,9.261810357997183e-05,0.0003372587375553512
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214_group_NA.35,2091.5,0.655883262279054,0.0002623281136339036,0.00028531317805995484
Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.30,2080.0,0.6535827212976879,0.0007895442033808673,0.0022713187779610958
Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_longum.2,2059.5,0.6514263922146117,0.01902299125221923,0.008400787610441579
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira_NA.19,2063.0,0.6455539853760763,0.0007740991888383363,0.0009799571806096382
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA.68,2249.5,0.6448335363819692,9.651852121781935e-05,8.171193446857785e-05
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_coprocola.3,2101.5,0.6440149180179136,0.00047611201629354025,0.0013042958467504773
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_NA.22,2103.5,0.6438463259109968,0.0011271516418450433,0.0009071161604876823
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA.34,2303.0,0.6430238180213308,0.0012018000873368136,0.0011381024472967036
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_edouardi.1,2312.0,0.642273169090007,0.0037829720947876286,0.002437669806615087
Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.9,2075.0,0.6380183314970591,0.0004289917071860323,0.0004645039503271429
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_massiliensis.1,2099.0,0.637974624350008,0.0007726481746459274,0.00046449888826561675
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family_XIII_AD3011_group_NA.12,2280.0,0.6331931625561349,0.0003611491245736779,0.0002638032511581523
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.44,2291.5,0.6271513468977014,0.0007819052216906575,0.0009673727993567855
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.64,2050.0,0.6267176868712612,0.004619480474468218,0.004850287287043618
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_7_NA.11,2076.0,0.6255427170910115,0.00845359608217627,0.0017458228696689993
Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium_coprostanoligenes_group_NA_NA.49,2110.0,0.6243286840980196,0.00010273182790497657,0.00025512219084085515
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.2,2107.0,0.6231638767171976,0.00036644335211604285,0.00055385745521938
Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium_coprostanoligenes_group_NA_NA.37,2079.0,0.6202473810853139,0.00019132644632272486,0.0005139511642593926
