ASV,MannWU_stat,p_value,MSI_pos_mean,MSI_neg_mean,MSI_pooled_stdev,MSI_cohens_d
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_uniformis.2,2421.5,0.12119834060054299,0.0039151766407025,0.00037965213788607193,0.012250410521253396,0.2886045734289966
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_NA_NA.15,2526.0,0.022882676921887217,0.007007895832983251,0.00032596346641886287,0.023366992763414394,0.2859560249886439
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_edouardi.1,2311.0,0.6448850130147216,0.0037710952938299156,0.0024315059498486173,0.004730194145672879,0.28319965369851413
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_7_NA.8,2302.0,0.5026118450149226,0.0015359298513948523,0.0004508735323838728,0.0038318315414934715,0.2831691078434191
Bacteria_Fusobacteriota_Fusobacteriia_Fusobacteriales_Fusobacteriaceae_Fusobacterium_necrophorum.1,2308.0,0.4105814454392851,0.005418804948913412,0.00020046705581147785,0.01847088879171738,0.28251688112820617
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Subdoligranulum_NA.60,2213.0,0.9173068879278327,0.015508347679569517,0.011608106937245396,0.013979885340164835,0.2789894657518081
Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Senegalimassilia_NA.7,2355.0,0.40539501448095827,0.0007715382826823384,0.0003700368095673512,0.0014620760540797275,0.27461052521491686
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.6,2464.0,0.2922245796511822,0.0036930371471997517,0.002043369953354769,0.0060404691136158335,0.2731024963154707
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_7_NA.11,2076.0,0.6255427170910115,0.008452419479035961,0.001745040582137427,0.024714387184436592,0.27139571970137205
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Intestinibacter_bartlettii.1,2561.0,0.16952677597500598,0.002441377422360866,0.0018695844509033673,0.0021174284111981066,0.2700412294619022
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.62,2148.0,0.8352993535353154,0.0004963803276292984,0.0001663924312779907,0.001259644412743007,0.2619690866827446
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-NK4A136-group_NA.20,2218.0,0.8737914467605471,0.001362871027972423,0.0006261140854434546,0.0028649265684321345,0.2571643373505966
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Flavonifractor_plautii.1,2469.0,0.2395468677832454,0.0012644633493251308,0.0006097990503452339,0.0025601812933351343,0.25571013298322687
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.64,2741.0,0.03248088894743097,0.0029223707685809685,0.0016152123381845361,0.00511798713365605,0.2554047902544569
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_intestinihominis.2,2324.0,0.5311182533280314,0.0019416752923141637,0.0006757836850560617,0.005042252687096472,0.2510567569327931
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenellaceae-RC9-gut-group_NA.51,2553.0,0.022071833503625352,0.00249414696821642,0.0004601990584143363,0.008189575975083324,0.24835814650115498
