ASV,MannWU_stat,p_value,mean_cancer,mean_normal
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_NA.18,12687.5,0.6175621096136868,0.0005178741828866678,0.0014996212170757172
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.66,13332.0,0.6152915524948909,0.0011990686240953821,0.001180790533951726
Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium_sensu_stricto_1_NA.25,12636.0,0.6126666998121778,0.0005303740618419505,0.0004243727601947025
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Odoribacter_splanchnicus.1,13440.0,0.6021167739537336,0.0005588431032170458,0.00046374805538618467
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_NA_NA.15,12736.5,0.5987732281084476,0.001140524995540788,0.0012514030812011629
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.62,12693.5,0.5796526455834409,0.0002316795465198285,0.00018340422221666154
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.78,13432.0,0.5784562289381912,0.0026051208286183816,0.0035839774887081355
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus_gauvreauii_group_NA.5,12503.0,0.5674589703016162,0.0019270597870544891,0.002220689200303492
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_NK4A136_group_NA.10,13371.0,0.5640733321811557,0.000371123640668271,0.00029671522592910303
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_massiliensis.2,12542.0,0.5611005390839946,0.0016498105799728285,0.0013787677446118792
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.11,12613.0,0.5469709092419757,0.000823710611899139,0.001249890552431524
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter_NA.91,12706.0,0.5446086427014967,0.000286935783135072,0.00044983636994979926
Bacteria_Firmicutes_Clostridia_Oscillospirales_Butyricicoccaceae_Butyricicoccus_NA.11,12685.0,0.5364138327457596,0.000149698962603113,0.00015792292762348915
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family_XIII_UCG-001_NA.1,13486.0,0.532321495437251,0.0003406818874175472,0.00024023361592495355
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Intestinimonas_NA.16,12449.5,0.5220575396610552,0.0007888510396219775,0.0008795092069210158
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_NA_NA.3,13395.5,0.48675636942785716,0.0009442454560149074,0.0005713151737805243
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_faecis.1,13642.0,0.48435428085182197,0.0045054646164491815,0.004417785782959886
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.290,12430.5,0.48187359540712915,0.003403319179540336,0.0017465089340992204
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Colidextribacter_NA.10,12513.0,0.4744727974785461,0.0002724895582033562,0.000297786070347298
Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.9,12462.0,0.46777965020341716,0.00044167585670400867,0.000596142195671463
Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_Akkermansiaceae_Akkermansia_NA.5,13468.5,0.4672558212455772,0.0017724567937986047,0.004061792772341747
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA.34,12391.0,0.46579742645977973,0.0011777997894611607,0.0013905338892449086
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.6,12481.0,0.4642755193733993,0.0007278244692922529,0.0017318883100451517
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_fragilis.4,12351.0,0.45800566145924737,0.007425060120379481,0.006454743458695145
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.372,12326.5,0.4423299154824132,0.00871510433178311,0.006767765151189698
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.304,12390.0,0.44094445448950825,0.0036400282586169365,0.001653744930110058
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.33,12615.5,0.4332805874853354,0.0003371282996232832,0.00034527095589325345
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus_torques_group_NA.24,12392.5,0.4306955220096139,0.0007091079977279419,0.0008866796123846335
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-003_NA.5,13731.0,0.42338572322243884,0.0016930962999746452,0.0016617660954406882
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenellaceae_RC9_gut_group_NA.44,12502.0,0.42289441120179927,0.0018316993777396304,0.00283171682312078
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_NA.51,12289.0,0.41804192600079715,0.011284290387528012,0.012497859409523094
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.366,12286.0,0.415606168331753,0.005081125806365427,0.006481315005537967
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_coprocola.4,13646.0,0.4095522277590593,0.002081077797812101,0.001432353915188548
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_bromii.1,12296.5,0.4082763232379717,0.0018774695316957084,0.0015945726614828807
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_NK4A136_group_bacterium.1,13757.0,0.40784226129786394,0.003804819891260762,0.0033103548443072558
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_NA_NA_NA.6,13533.5,0.3952682865514362,0.0009821248378003359,0.0005659097031274537
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.39,12292.5,0.3845839540841197,0.00085744675840034,0.0006814638299058785
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.83,13532.5,0.37867835961071084,0.00030618535260055205,0.00019921958116088823
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Oscillibacter_NA.3,12223.0,0.37583508104857566,0.0015164244108324075,0.0016358933054621578
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.63,13538.5,0.3731702490717269,0.0003277790188046215,0.00018080883124472542
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Flavonifractor_plautii.2,13445.5,0.36839390212666734,0.0001829979112341611,5.637788602753492e-05
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_vulgatus.4,12247.0,0.365687982824221,0.0019262713566636734,0.0028640215047848415
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.22,12480.0,0.35308731304907137,0.0004135168797515903,0.000601898965221241
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_salyersiae.1,13549.0,0.35062939782057356,0.00043402259370604917,0.00017492671731973033
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Dorea_formicigenerans.1,12160.0,0.34012556279799533,0.001947580684277672,0.001971630516868674
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Intestinibacter_bartlettii.1,13906.0,0.31932938711013914,0.001960821541493719,0.0016533297211602947
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus_eutactus.1,13906.0,0.3160583707244894,0.0024200609005589064,0.0022108141975642824
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_NA.4,13939.0,0.30004794718852223,0.003842021198545147,0.003807884642365241
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.356,12431.0,0.29311649109841753,0.00031980056751747276,0.0005475699039431393
Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.46,12398.5,0.2811656062208622,0.0003116251554186007,0.0006502130478001164
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Butyricimonas_NA.31,12474.0,0.25820965103489923,0.00016545774696006955,0.0002222101167513332
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.3,14048.0,0.24911370451902015,0.02129964222261179,0.018632455052252805
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.331,13677.5,0.24000586180813455,0.00036601773680180024,0.000900616164375674
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_CAG-56_NA.6,14066.0,0.2394157328145302,0.0017853373604052522,0.0015207386693642522
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira_NA.19,12013.0,0.2392265986703367,0.0009015355263746865,0.0013242305240338441
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214_group_NA.21,13896.0,0.23890378102679355,0.0008132583917173648,0.0009175044104051357
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA.38,13700.0,0.23435263771935966,0.0017074932872364168,0.000306952725087998
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_massiliensis.1,14107.0,0.22308580964595404,0.003561633769517766,0.0035745205351480854
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_NA_NA_NA.2,13601.0,0.22066373601648437,0.0006243259466143043,0.00012014949098453653
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.17,14077.5,0.21968296915904117,0.0018025529740188634,0.0012853980357869904
Bacteria_Firmicutes_Clostridia_Oscillospirales_UCG-010_NA_NA.51,12319.0,0.21704245492326601,0.00018391906333456982,0.00026890408745047876
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.13,13734.0,0.21192438251163137,0.0004752314234776796,0.00016301355598123787
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_NK4A136_group_NA.48,14148.0,0.20543251788508254,0.0016856365504517286,0.0013151960211078134
Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_Akkermansiaceae_Akkermansia_NA.4,13821.0,0.18361820011130958,0.002201744307812166,0.0006742980896879843
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.25,14184.0,0.18337811220518907,0.0022589961358131616,0.0021832575418227634
Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.30,14053.5,0.16937607158211232,0.001959298103773496,0.0011438117756614012
Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.15,14107.0,0.16337832416247033,0.0012715182565154266,0.0015207632436782775
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.136,12100.5,0.1628287953127766,0.0018811154026411488,0.0044805550456232185
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.7,12246.5,0.15984418847159565,0.00044988529391495777,0.0005345281566714902
Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium_coprostanoligenes_group_NA_NA.15,12349.0,0.15903224473939293,0.0002444338253112512,0.0005480112284864772
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.305,12308.0,0.1526797676263382,0.0004036711545660822,0.0003511829553664807
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.31,13980.0,0.14082362194690248,0.001030972229811819,0.0005210091459494783
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.311,14344.5,0.13648572318722368,0.003009545970489737,0.0028409472385918723
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_senegalensis.1,13880.0,0.13577447636936646,0.00021736530775821102,0.00012920523257487645
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_massiliensis.3,11807.5,0.13576113264420897,0.0013512745502958126,0.004658228124969171
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus_comes.1,14352.0,0.13574161879574215,0.004734195469439122,0.004355411150033487
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.38,11683.0,0.1344470179781196,0.004034836277751623,0.004278710493560433
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Incertae_Sedis_NA.20,14327.0,0.13092278356022963,0.0012258838744341949,0.0008180893615505753
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Anaerostipes_NA.18,14297.0,0.12686738023360575,0.0006922666724718135,0.0005764453103239531
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_eggerthii.2,11697.5,0.12627219842714546,0.0023719963388012925,0.0034531129850779783
Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_NA.21,14291.0,0.1240424514910211,0.005258728780315757,0.002398086135617772
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_caccae.1,11612.0,0.1163151972304772,0.003165857353554538,0.0037445930102736583
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Butyricimonas_virosa.2,13835.5,0.11406039340715488,0.0002798791074595196,0.0001135423157976873
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Dorea_NA.31,14121.5,0.11082723498438313,0.00031268277341749145,0.00021906041900385853
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.277,11579.0,0.09849594377265249,0.002901203933928345,0.0030249800165173014
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_vulgatus.5,11530.0,0.0975113956985146,0.030294462795129692,0.037675449227161664
Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium_coprostanoligenes_group_NA_NA.37,11864.5,0.09733373825014652,0.0004436450265748255,0.0009662251940391444
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.134,12204.0,0.09727580817557385,0.00032604069103688975,0.0010700922189547906
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus_gnavus_group_NA.10,11535.0,0.09711344433463968,0.007355991153339693,0.005580093852392169
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.307,11616.0,0.08821571251633639,0.0018225045745813063,0.0011796562180286377
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.23,13863.0,0.08624471298311227,0.0004944771261444085,0.00046507936943425676
