ASV,MannWU_stat,p_value,Cancer_pos_mean,Cancer_neg_mean
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Oscillibacter_NA.3,12235.0,0.3563359307885319,0.0015124464912730448,0.0016358933054621578
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.22,12518.0,0.34558496615311096,0.0004120131820070391,0.000601898965221241
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Dorea_formicigenerans.1,12203.0,0.3391207803204612,0.0019468744294542323,0.001971630516868674
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.356,12515.0,0.3290095985070053,0.00032270898658039187,0.0005475699039431393
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_NA.4,13986.0,0.30186341011192386,0.00383447728082522,0.003807884642365241
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Intestinibacter_bartlettii.1,13993.0,0.29987513719860626,0.0019658540602945675,0.0016533297211602947
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus_eutactus.1,13999.0,0.2935306225033675,0.0024509241414101966,0.0022108141975642824
Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.46,12437.0,0.2751777843666968,0.0003104919730352603,0.0006502130478001164
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira_NA.19,12091.0,0.2555512514723788,0.0009082947087361722,0.0013242305240338441
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Butyricimonas_NA.31,12515.0,0.25346117724416717,0.0001648560824256693,0.0002222101167513332
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.3,14096.0,0.25038601065850263,0.021277676856036265,0.018632455052252805
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.331,13720.0,0.24453565331268146,0.00036468676321343003,0.000900616164375674
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_CAG-56_NA.6,14116.0,0.23980138257313055,0.0017837871536812014,0.0015207386693642522
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA.38,13741.0,0.2397879916087997,0.0017012842207373754,0.000306952725087998
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_massiliensis.1,14127.0,0.23644980049364572,0.0035542900552352577,0.0035745205351480854
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214_group_NA.21,13967.0,0.22889229584516413,0.0008119398629019373,0.0009175044104051356
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_NA_NA_NA.2,13645.0,0.22434588659991628,0.0006220556704447977,0.00012014949098453653
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.13,13775.5,0.21670659885983823,0.000473503309210488,0.00016301355598123787
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.17,14142.5,0.21376289977742302,0.0018020156107813278,0.0012853980357869904
