0,component_1,component_2,pred,true
U215,-0.36679106196407035,-0.11653402287468712,0,2
U216,0.2630993871557568,0.44866035040087204,2,2
U217,-0.18639805739375467,-0.11663651318400894,0,4
U218,0.3199501993616161,-0.10928434810079471,3,2
U219,0.279982954731024,0.35970866876890106,2,4
U22,-0.4205437331187945,-0.34644939804554487,0,2
U220,-0.28534532045060257,-0.43209666504476596,3,2
U221,-0.09229231774710205,0.04047437583578981,0,3
U222,-0.4365572205844388,-0.06493360697717895,0,2
U223,0.4399769090691342,0.14150352991277468,2,3
U224,-0.9043617993030755,-0.06182870599416252,0,3
U225,-0.43122708082585864,0.061683635696214364,0,3
U226,0.3911496534629181,-0.0068572181144321565,3,3
U228,0.6504960715233626,-0.03134030216004524,1,3
U23,-0.5287360376760711,-0.3952871231340861,0,2
U230,-0.23023730352837823,-0.6273483796702133,3,4
U231,-0.22665833666071866,-0.142316506732727,0,2
U232,0.08330501930719661,0.5372530278103014,2,1
U233,-0.392856508403132,0.20092588868095707,0,3
U234,-0.4162159447436981,-0.05653490323363959,0,4
U235,-0.4930317809235589,-0.071294919600969,0,4
U236,0.0168925391128008,0.21620575420269908,0,3
U237,-0.5313877021115587,0.10217208697701585,0,1
U238,0.03195982073542092,-0.21488501150367323,3,4
U239,-0.4006710212948381,0.10290100076051392,0,2
U241,-0.458732317978813,0.08704096782346464,0,4
U242,-0.2552909811006477,-0.1316744779685518,0,2
U243,0.04668854500724571,0.3356531991966743,2,3
U244,-0.10337924889558536,0.30663038344340104,0,3
U245,0.024750496322824028,-0.18174907697940698,3,3
U246,-0.3439064201388602,0.43419752245394316,0,2
U247,-0.08447064491165725,0.24173899751556888,0,3
U248,-0.3483241658845493,0.12947788286762088,0,1
U249,0.36136249252329655,-0.09382359179295516,3,1
U25,0.5482377402741447,-0.22595077176396888,1,3
U250,-0.7327130953642328,0.07446563672724474,0,1
U251,-0.5032115948770783,0.1854370035539098,0,2
U252,-0.29551671168677995,-0.05648751818002237,0,1
U253,-0.31292855208607023,0.2062117963002655,0,2
U254,-0.17923546878384825,0.06264447465229685,0,2
U255,-0.44259835929571617,0.15061606769707617,0,4
U256,-0.6599750226222578,0.18175683929715059,0,4
U257,0.10512449469423672,0.44700945117824453,2,1
U258,-0.5397189424283676,0.28763382116115654,0,2
U26,0.9486409793673996,0.20553013101292472,1,2
U260,-0.43387855697413136,0.021690499475458997,0,3
U261,-0.3691588070681991,-0.11937749857095273,0,4
U262,-0.199074987872611,-0.024776608424037238,0,2
U263,-0.40308084528663884,0.47961454300596895,0,2
U264,-0.5876852948340798,0.5859525787683282,0,3
U265,-0.6177228036455467,0.0645660147701964,0,2
U266,-0.7187588620329289,-0.07980994435096148,0,2
U267,-0.37735543393686277,0.3056430370005131,0,2
U268,-0.4025472361726412,0.08771736548881622,0,3
U269,-0.1341096649927073,-0.17335493864498885,3,4
U27,-0.38601787287560313,0.1831111100595104,0,3
U271,-0.6387882525444413,-0.06616686257141864,0,4
U272,-0.7020354132539317,-0.007672481088659665,0,3
U273,0.6610470420780652,1.0817241543516571,2,2
U275,0.35207992248499553,0.9547973811270697,2,2
U276,0.2692591481116499,0.6006261499276351,2,2
U277,0.789902812307336,0.9155453156638871,2,4
U278,-0.2858417492359425,-0.2704333807238084,0,2
U279,0.47768013628217165,1.4985302793338047,2,2
U28,2.0859032596726865,-0.7656183995449627,1,1
U280,0.20558734214128202,0.6263910907723296,2,3
U281,0.5235122838496996,1.8001578458979344,2,3
U282,-0.10543084415597119,0.07333322546976533,0,2
U283,0.31255242989071574,-0.5233880071340962,3,2
U284,0.46782884304619654,0.31836596681631624,2,4
U285,-0.5355670831335754,0.01315767949711362,0,3
U286,-0.47773494190448024,0.7096913203337141,0,4
U287,-0.06966329320276438,0.30901148568624415,0,3
U288,0.17883452610713724,-0.3192463769038996,3,4
U289,-0.4817861447844176,0.05933521885451391,0,2
U290,-0.37343246971884214,0.24462374628099876,0,1
U291,-0.503010612732266,0.33972795555989443,0,2
U292,-0.7413207029837495,0.14480968567540237,0,2
U293,-0.37580158702069305,-0.4493579081721819,0,3
U294,-0.28189547744823223,0.00023494249880696982,0,2
U295,0.8647651621041174,0.0668216932388493,1,2
U296,0.36017636965845345,1.0630049922655154,2,2
U298,-0.30983699762005446,-0.4265441869400686,0,1
U3,-0.4196732285165362,-0.1818265664843036,0,1
U30,-0.18664935337488378,0.28890073015929,0,3
U31,0.712471816333998,-0.6322800682593527,1,3
U32,-0.5322930646358703,0.5735061885020916,0,1
U33,-0.8753970835366179,-0.5661476284980143,0,3
U34,-0.27602704520982124,0.4338007909938736,0,4
U35,0.18435195647760944,-0.46497673262283845,3,3
U36,0.376326864233845,-0.31345994134536803,3,4
U37,-1.0632493954648,-0.3040300072418471,0,3
U38,0.030855066307057873,0.5371179613028253,2,4
U40,-0.7165924636419845,0.09621386906063464,0,1
U41,0.9109291166720179,-0.5810511112404999,1,2
U42,0.09128978220344905,-0.24770571102494082,3,3
U44,-0.24661981110982945,-0.21957656291856167,0,3
U46,0.15551041176546426,-0.021508306776193385,3,2
U47,0.6801082788877544,0.19144727279172472,2,3
U48,0.25257830437925854,0.016203819077067957,3,2
U49,0.37377049330216383,-0.5256976743651092,3,2
