0,component_1,component_2,pred,true
U145,-0.234451193922364,-0.2819167423467377,0,4
U146,0.5950792811002015,-0.24873645657743623,1,3
U147,0.6314953595086286,0.10708144508736062,4,3
U148,0.6507095276981428,0.5129704724323101,4,3
U149,0.1485896916433788,0.274094680120178,4,3
U15,-0.344170111585652,0.19262148355385733,0,2
U150,0.4236576921341655,-0.3317783534040452,1,1
U151,0.5097005862381095,0.5665097006578145,4,2
U152,0.4956878908139537,-0.025651882016348326,4,3
U153,1.1416413099852334,-0.5892696812147598,2,1
U154,0.539584689135727,0.11743547305696873,4,3
U156,0.8582391213019666,-0.015293552820777219,4,3
U157,0.34668542258872403,1.2098121425623167,3,2
U158,0.42437471748291006,0.29923367224016106,4,3
U159,0.24614567670037185,0.1031510376351475,4,3
U16,-0.35161234651297824,0.258341597582042,0,4
U160,0.1811303835872173,0.12039628597757701,4,1
U161,0.012256795791686172,0.4227453444720375,3,1
U162,0.028558694124304437,0.5675236131349606,3,2
U163,0.3513219216344632,-0.057687718894670344,1,2
U164,0.1653643324269668,0.41587066570343,4,2
U165,0.17689517130255472,0.19389571279559872,4,4
U166,0.6544873742022826,0.13743872212817984,4,4
U167,0.08461223528904893,-0.4078624680495633,1,1
U168,0.08811009020774385,0.11380089711513003,4,2
U169,-0.24817980340835133,-0.2980503787358538,0,2
U17,-0.2393036253665408,0.8054522673838556,3,4
U170,0.018020620456203982,-0.2827057039676474,1,1
U171,0.042706446787290624,-0.29659190240984973,1,2
U172,0.030040667778085728,-0.2606046565112882,1,4
U173,0.3177128265994322,-0.38198209582192255,1,3
U174,0.2535639669688331,-0.3995078162708675,1,3
U175,0.2620110959627045,-0.2884728227667308,1,3
U176,0.3854264250903743,-0.2855484952492256,1,1
U177,0.39113740145549875,0.8319576722627421,3,3
U178,0.7409638106120937,0.5110973992592456,4,2
U179,0.1790723018095982,-0.078893200622287,1,1
U18,-0.10249560943921623,-0.3171319809281721,0,4
U180,0.24003533686412062,0.18697165503882507,4,4
U181,0.715001241741037,0.5653644075589147,4,3
U182,-0.20471959078702107,0.2497597586925802,0,2
U183,-0.1740867297752087,0.5887511404848422,3,1
U184,-0.12950668172423307,0.0942309646680063,0,1
U185,0.34714460213366466,0.5643233140881065,4,1
U186,-0.13184701217630915,-0.12427492612019247,0,3
U187,-0.3062472195951876,0.18722009021109756,0,1
U188,-0.08888741890583565,0.04450364378426375,0,2
U189,-0.1037043713055242,-0.3199323397586107,0,2
U19,-0.2681560848472925,0.45928958327632635,3,4
U190,-0.6058464273180958,-0.13424866703789867,0,3
U192,-0.5364230456177094,0.01459944451917336,0,2
U193,0.15561651749742655,0.2966753559796793,4,3
U194,-0.9112612000989517,-0.24134750529162086,0,3
U195,-0.28378022701920147,0.045846528503281435,0,1
U196,0.043968510308673284,0.23892249403022067,4,2
U197,-0.10279158136206823,-0.21356539381783543,0,1
U198,0.052157938021219076,-0.27661046138486955,1,2
U199,-0.23456278727102764,0.6136804207765144,3,2
U2,-0.31850023051943266,0.3507069552443155,3,3
U20,-0.34592106819820717,-0.2406513423997821,0,2
U200,-0.3274141621857525,-0.49154221832425543,0,2
U201,-0.5863502842065862,-0.18970313614834938,0,1
U202,-0.6458441805243176,-0.238405187501377,0,1
U204,-0.7510493253229077,-0.15416110644333775,0,3
U205,-0.4667826164386233,-0.18975754146360577,0,1
U206,-0.3387996417638319,-0.06280279126586481,0,1
U208,-0.1567398426403543,-0.3341774972989531,0,4
U209,-0.2618750838700049,0.11311721099273886,0,1
U21,0.46140713851714027,-0.034571981917529984,4,3
U210,-0.7625662428665092,-0.40910778189961017,0,2
U211,-0.5518359823738249,-0.23949119728984947,0,2
U212,-0.4837391719693758,-0.05553538434895809,0,4
U213,-0.41776570345253355,-0.050709245768022944,0,3
U214,-0.6580348880582128,0.021756668301097234,0,2
U215,-0.3398076442614847,-0.06086167210919426,0,2
U216,0.05242991124045116,0.5652538967253303,3,2
U217,-0.13982921566714313,-0.018251936583416204,0,4
U218,0.30937401078580173,0.04700003569983985,4,2
U219,0.2533524993069758,0.5606412700374588,3,4
U22,-0.3057212403711605,-0.3951269779672996,0,2
U220,-0.208930933169385,-0.33800710713209414,0,2
U221,-0.11079117408305858,0.16760308546517994,0,3
U222,-0.3532739321106934,0.025425136042578046,0,2
U223,0.3754729412781037,0.36110734982862613,4,3
U224,-0.7842465445922701,-0.1918945278535895,0,3
U225,-0.36629123317972745,0.10655257846740518,0,3
U226,0.21304204504269847,0.1030704726002763,4,3
U228,0.5552991304489726,0.1329531269427782,4,3
U23,-0.34843514696772787,-0.31503450576142844,0,2
U230,-0.02637405370693928,-0.37175053554323667,1,4
U231,-0.16129150160130631,-0.043014437753139824,0,2
U232,-0.241545899532746,0.45662841670678234,3,1
U233,-0.4152323515144722,0.1011456747705886,0,3
U234,-0.389016947159484,-0.087434432723389,0,4
U235,-0.4892228457516877,-0.09983912634757815,0,4
U236,-0.1090158415952428,0.14351931411851887,0,3
