ASV,MannWU_stat,p_value,Local_right_colon_pos_mean,Local_right_colon_neg_mean,Local_right_colon_pooled_stdev,Local_right_colon_cohens_d,Local_right_colon_cliffs_delta
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus_comes.1,5269.0,0.03021645494856255,0.004505313267835884,0.00550399531414368,0.002743702729415778,-0.36399061589316106,0.18310077519379844
Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_Akkermansiaceae_Akkermansia_NA.5,7291.0,0.030500413998398344,0.0022178337242894108,0.00024537022124040937,0.006593416324325806,0.2991565231171249,-0.1303875968992248
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Colidextribacter_NA.10,5543.5,0.030606154446194772,0.00023235748699647246,0.0004225743177360684,0.0005956260912765769,-0.3193561086820648,0.14054263565891473
Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_NA.21,5351.0,0.03095701046585754,0.0048994927613030936,0.00642553986852155,0.0258197034976393,-0.05910397489103556,0.1703875968992248
Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Slackia_isoflavoniconvertens.1,5605.0,0.03409220878275414,0.0002405880038563487,0.000704439819140272,0.0011855566567066627,-0.39125233927870573,0.1310077519379845
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Hungatella_hathewayi.2,5786.0,0.03540899373390165,0.00011173849406136305,0.0005879579304055045,0.001519638403969527,-0.31337681062822825,0.10294573643410852
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.37,5770.5,0.03557427007776315,0.00022284950511302704,0.0008483348980125395,0.0030897666185015047,-0.20243774696577713,0.10534883720930233
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_NA.26,7490.0,0.03849976499812842,0.002051961370718391,0.0007746585429622423,0.003389969190546429,0.37678891929700997,-0.16124031007751938
Bacteria_Firmicutes_Clostridia_Clostridia-vadinBB60-group_NA_NA_NA.9,5617.0,0.03901561280008624,0.0008774353084059302,0.0005014601838987305,0.002902025409109419,0.12955611047615878,0.12914728682170543
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.2,7572.0,0.03950140538609078,0.014556785339734432,0.011166627852416698,0.013220233305328177,0.2564370392730809,-0.173953488372093
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_eggerthii.2,7502.0,0.04306915226279244,0.0024968514105037933,0.0019651022747779173,0.0053795561200013445,0.09884628468672675,-0.16310077519379845
Bacteria_Firmicutes_Clostridia_Clostridia-vadinBB60-group_NA_NA_NA.56,7187.0,0.047807740665844554,0.0004105839374608853,0.0001377313139128529,0.0010101952036081544,0.27009891016456405,-0.11426356589147287
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.75,5630.5,0.04828323395859886,0.0013085380258597498,0.0017846829045099091,0.007650211592036497,-0.062239439121632045,0.12705426356589147
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.331,7155.5,0.048432453991940495,0.0004239721632103595,0.0001516465513567419,0.0013280935005797277,0.20505002978686698,-0.10937984496124031
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.11,7447.5,0.04871663006354009,0.0014959445282845092,0.0005623081772334731,0.0023661400393139164,0.39458203468031094,-0.15465116279069768
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Bacteroides-pectinophilus-group_NA.1,5869.0,0.04892207448758686,0.00028429450502827944,0.0002674491502032771,0.0011844231402681833,0.014222412795133416,0.09007751937984496
