clin_var,community,real,prob,fisher_p
Local_3grp,4,"[4, 0, 0]","[2.47787610619469, 0.831858407079646, 0.6902654867256637]",0.42857142857142805
Local_3grp,6,"[3, 2, 0]","[3.0973451327433628, 1.0398230088495575, 0.8628318584070795]",0.9999999999999981
Local_3grp,7,"[5, 2, 0]","[4.336283185840708, 1.4557522123893805, 1.2079646017699115]",1.0
Local_3grp,11,"[2, 1, 0]","[1.8584070796460175, 0.6238938053097345, 0.5176991150442478]",0.9999999999999997
Local_3grp,12,"[10, 4, 1]","[9.292035398230087, 3.119469026548672, 2.5884955752212386]",0.7498750624687669
Local_3grp,15,"[2, 1, 1]","[2.47787610619469, 0.831858407079646, 0.6902654867256637]",0.9999999999999991
Local_3grp,17,"[1, 1, 1]","[1.8584070796460175, 0.6238938053097345, 0.5176991150442478]",0.999999999999999
Local_3grp,18,"[2, 0, 0]","[1.238938053097345, 0.415929203539823, 0.34513274336283184]",1.0
Local_3grp,20,"[3, 0, 0]","[1.8584070796460175, 0.6238938053097345, 0.5176991150442478]",0.9999999999999997
Local_3grp,21,"[2, 2, 0]","[2.47787610619469, 0.831858407079646, 0.6902654867256637]",0.9999999999999994
Local_3grp,23,"[4, 1, 0]","[3.0973451327433628, 1.0398230088495575, 0.8628318584070795]",0.9999999999999981
Local_3grp,27,"[2, 1, 0]","[1.8584070796460175, 0.6238938053097345, 0.5176991150442478]",0.9999999999999997
Local_3grp,28,"[2, 1, 0]","[1.8584070796460175, 0.6238938053097345, 0.5176991150442478]",0.9999999999999997
Local_3grp,29,"[1, 1, 0]","[1.238938053097345, 0.415929203539823, 0.34513274336283184]",1.0
Local_3grp,30,"[3, 1, 0]","[2.47787610619469, 0.831858407079646, 0.6902654867256637]",0.9999999999999994
Local_3grp,31,"[2, 0, 0]","[1.238938053097345, 0.415929203539823, 0.34513274336283184]",1.0
Local_3grp,33,"[2, 0, 0]","[1.238938053097345, 0.415929203539823, 0.34513274336283184]",1.0
Can_spec_death,0,"[25, 11]","[26.877828054298643, 9.122171945701357]",0.7929461515010631
